1961	3
777	1	0
814	2	0
815	0	738
777	0	739
777	1	0
818	2	0
819	0	740
777	0	741
777	1	0
822	2	0
823	0	742
777	0	743
777	1	0
826	2	0
827	0	744
777	0	745
777	1	0
830	2	0
831	0	746
777	0	747
777	1	0
834	2	0
835	0	748
777	0	749
777	1	0
838	2	0
839	0	750
777	0	751
839	0	752
777	0	753
777	1	0
844	2	0
845	0	754
777	0	755
777	1	0
848	2	0
849	0	756
777	0	757
777	1	0
852	2	0
853	0	758
777	0	759
777	1	0
856	2	0
857	0	760
777	0	761
777	1	0
860	2	0
861	0	762
777	0	763
777	1	0
864	2	0
865	0	764
777	0	765
777	1	0
868	2	0
869	0	766
777	0	767
777	1	0
872	2	0
873	0	768
777	0	769
777	1	0
876	2	0
877	0	770
777	0	771
777	1	0
880	2	0
881	0	772
777	0	773
777	1	0
884	2	0
885	0	774
777	0	775
777	1	0
888	2	0
889	0	776
777	0	777
777	1	0
892	2	0
893	0	778
777	0	779
777	1	0
896	2	0
897	0	780
777	0	781
777	1	0
900	2	0
901	0	782
777	0	783
777	1	0
904	2	0
905	0	784
777	0	785
777	1	0
908	2	0
909	0	786
777	0	787
777	1	0
912	2	0
913	0	788
777	0	789
777	1	0
916	2	0
917	0	790
777	0	791
777	1	0
920	2	0
921	0	792
777	0	793
777	1	0
924	2	0
925	0	794
777	0	795
777	1	0
928	2	0
929	0	796
777	0	797
777	1	0
932	2	0
933	0	798
777	0	799
777	1	0
936	2	0
937	0	800
777	0	801
777	1	0
940	2	0
941	0	802
777	0	803
777	1	0
944	2	0
945	0	804
777	0	805
777	1	0
948	2	0
949	0	806
777	0	807
777	1	0
952	2	0
953	0	808
777	0	809
777	1	0
956	2	0
957	0	810
777	0	811
777	1	0
960	2	0
961	0	812
777	0	813
777	1	0
964	2	0
965	0	814
777	0	815
777	1	0
968	2	0
969	0	816
777	0	817
777	1	0
972	2	0
973	0	818
777	0	819
777	1	0
976	2	0
977	0	820
777	0	821
777	1	0
980	2	0
981	0	822
777	0	823
777	1	0
984	2	0
985	0	824
777	0	825
777	1	0
988	2	0
989	0	826
777	0	827
777	1	0
992	2	0
993	0	828
777	0	829
777	1	0
996	2	0
997	0	830
777	0	831
777	1	0
1000	2	0
1001	0	832
777	0	833
777	1	0
1004	2	0
1005	0	834
777	0	835
777	1	0
1008	2	0
1009	0	836
777	0	837
777	1	0
1012	2	0
1013	0	838
777	0	839
777	1	0
1016	2	0
1017	0	840
777	0	841
777	1	0
1020	2	0
1021	0	842
777	0	843
777	1	0
1024	2	0
1025	0	844
777	0	845
777	1	0
1028	2	0
1029	0	846
777	0	847
777	1	0
1032	2	0
1033	0	848
777	0	849
777	1	0
1036	2	0
1037	0	850
777	0	851
777	1	0
1040	2	0
1041	0	852
777	0	853
777	1	0
1044	2	0
1045	0	854
777	0	855
777	1	0
1048	2	0
1049	0	856
777	0	857
777	1	0
1052	2	0
1053	0	858
777	0	859
777	1	0
1056	2	0
1057	0	860
777	0	861
777	1	0
1060	2	0
1061	0	862
777	0	863
777	1	0
1064	2	0
1065	0	864
777	0	865
777	1	0
1068	2	0
1069	0	866
777	0	867
777	1	0
1072	2	0
1073	0	868
777	0	869
777	1	0
1076	2	0
1077	0	870
777	0	871
777	1	0
1080	2	0
1081	0	872
777	0	873
777	1	0
1084	2	0
1085	0	874
777	0	875
777	1	0
1088	2	0
1089	0	876
777	0	877
777	1	0
1092	2	0
1093	0	878
777	0	879
777	1	0
1096	2	0
1097	0	880
777	0	881
777	1	0
1100	2	0
1101	0	882
777	0	883
777	1	0
1104	2	0
1105	0	884
777	0	885
777	1	0
1108	2	0
1109	0	886
777	0	887
777	1	0
1112	2	0
1113	0	888
777	0	889
777	1	0
1116	2	0
1117	0	890
777	0	891
777	1	0
1120	2	0
1121	0	892
777	0	893
777	1	0
1124	2	0
1125	0	894
777	0	895
777	1	0
1128	2	0
1129	0	896
777	0	897
777	1	0
1132	2	0
1133	0	898
777	0	899
777	1	0
1136	2	0
1137	0	900
777	0	901
777	1	0
1140	2	0
1141	0	902
777	0	903
777	1	0
1144	2	0
1145	0	904
777	0	905
777	1	0
1148	2	0
1149	0	906
777	0	907
777	1	0
1152	2	0
1153	0	908
777	0	909
777	1	0
1156	2	0
1157	0	910
777	0	911
777	1	0
1160	2	0
1161	0	912
777	0	913
777	1	0
1164	2	0
1165	0	914
777	0	915
777	1	0
1168	2	0
1169	0	916
777	0	917
777	1	0
1172	2	0
1173	0	918
777	0	919
777	1	0
1176	2	0
1177	0	920
777	0	921
777	1	0
1180	2	0
1181	0	922
777	0	923
777	1	0
1184	2	0
1185	0	924
777	0	925
777	1	0
1188	2	0
1189	0	926
777	0	927
777	1	0
1192	2	0
1193	0	928
777	0	929
777	1	0
1196	2	0
1197	0	930
777	0	931
